order_id,product_id,product_name,category,quantity,unit_price,total_revenue,order_date,ship_date,delivery_date,lead_time_days,supplier_id,supplier_name,country,warehouse_id,inventory_level,reorder_point,status
ORD-00001,P002,Steel Bracket,Metal Parts,45,1478.28,66522.6,2023-05-23,2023-06-01,2023-06-10,9,S001,TechSupply Co.,Germany,WH-East,520,65,delivered
ORD-00002,P002,Steel Bracket,Metal Parts,367,1626.46,596910.82,2023-01-28,2023-02-01,2023-03-11,38,S002,PacificParts Ltd.,China,WH-South,8928,264,delivered
ORD-00003,P004,Circuit Board,Electronics,175,698.29,122200.75,2023-01-07,2023-01-14,2023-01-27,13,S004,NorthAm Industrial,USA,WH-Central,3527,440,delivered
ORD-00004,P006,Sensor Unit,Electronics,136,2018.79,274555.44,2024-01-03,2024-01-13,2024-02-07,25,S001,TechSupply Co.,Germany,WH-North,7527,324,delivered
ORD-00005,P002,Steel Bracket,Metal Parts,296,484.76,143488.96,2024-10-05,2024-10-11,2024-11-22,42,S004,NorthAm Industrial,USA,WH-North,1139,73,shipped
ORD-00006,P004,Circuit Board,Electronics,233,1591.03,370709.99,2023-04-14,2023-04-19,2023-05-16,27,S003,EuroComponents AG,France,WH-North,5977,133,pending
ORD-00007,P006,Sensor Unit,Electronics,312,1589.27,495852.24,2024-12-19,2024-12-21,2025-02-03,44,S003,EuroComponents AG,France,WH-South,8751,423,shipped
ORD-00008,P004,Circuit Board,Electronics,351,814.09,285745.59,2024-10-17,2024-10-21,2024-11-28,38,S002,PacificParts Ltd.,China,WH-West,916,167,delivered
ORD-00009,P001,Industrial Pump,Machinery,109,1640.32,178794.88,2023-08-05,2023-08-11,2023-09-19,39,S003,EuroComponents AG,France,WH-West,6482,379,delivered
ORD-00010,P008,Safety Helmet,Safety,383,1463.54,560535.82,2024-07-28,2024-08-02,2024-09-08,37,S002,PacificParts Ltd.,China,WH-East,9560,254,delivered
ORD-00011,P006,Sensor Unit,Electronics,79,1570.48,124067.92,2023-04-04,2023-04-06,2023-04-12,6,S002,PacificParts Ltd.,China,WH-South,6916,355,delivered
ORD-00012,P002,Steel Bracket,Metal Parts,498,1385.3,689879.4,2024-04-24,2024-04-29,2024-06-04,36,S004,NorthAm Industrial,USA,WH-West,188,398,shipped
ORD-00013,P002,Steel Bracket,Metal Parts,223,399.6,89110.8,2023-12-15,2023-12-20,2023-12-30,10,S005,AsiaManufact Inc.,Japan,WH-East,53,419,pending
ORD-00014,P005,Conveyor Belt,Machinery,431,1599.18,689246.58,2023-04-19,2023-04-24,2023-06-06,43,S005,AsiaManufact Inc.,Japan,WH-South,9977,151,delivered
ORD-00015,P003,Hydraulic Valve,Machinery,166,1224.07,203195.62,2024-06-27,2024-07-07,2024-07-10,3,S003,EuroComponents AG,France,WH-South,1832,235,delivered
ORD-00016,P005,Conveyor Belt,Machinery,375,1217.55,456581.25,2024-08-03,2024-08-05,2024-08-13,8,S002,PacificParts Ltd.,China,WH-North,1133,439,delivered
